Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Learning Rate
1,2.6992,0.0800,2.5555,0.1264,0.000002
2,2.6992,0.0800,2.5555,0.1264,0.000002
3,1.1039,0.6543,0.3835,0.8948,0.000003
4,0.3573,0.8863,0.1809,0.9437,0.000005
5,0.2618,0.9182,0.1378,0.9551,0.000007
6,0.2289,0.9313,0.1162,0.9576,0.000008
7,0.2158,0.9342,0.1096,0.9666,0.000010
8,0.1990,0.9409,0.0689,0.9739,0.000011
9,0.1926,0.9453,0.1078,0.9666,0.000013
10,0.1892,0.9460,0.1399,0.9674,0.000015
11,0.2047,0.9424,0.1264,0.9666,0.000016
12,0.1981,0.9426,0.1178,0.9649,0.000018
13,0.1886,0.9483,0.1031,0.9706,0.000020
14,0.1938,0.9468,0.1100,0.9682,0.000021
15,0.1855,0.9483,0.1551,0.9657,0.000023
16,0.2033,0.9425,0.1522,0.9706,0.000024
17,0.1262,0.9640,0.0705,0.9747,0.000003
18,0.0873,0.9744,0.0712,0.9772,0.000005
19,0.0684,0.9812,0.0891,0.9723,0.000007
20,0.0556,0.9833,0.1525,0.9666,0.000008
