Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Learning Rate
1,2.6992,0.0800,2.5555,0.1264,0.000002
2,1.1117,0.6516,0.3898,0.8931,0.000003
3,0.3590,0.8855,0.1774,0.9454,0.000005
4,0.2630,0.9182,0.1326,0.9560,0.000007
5,0.2319,0.9292,0.1112,0.9600,0.000008
6,0.2129,0.9361,0.1197,0.9641,0.000010
7,0.1981,0.9420,0.0808,0.9715,0.000011
8,0.1984,0.9434,0.0984,0.9674,0.000013
9,0.1903,0.9462,0.1694,0.9600,0.000015
10,0.1997,0.9413,0.0998,0.9706,0.000016
11,0.2005,0.9426,0.1287,0.9608,0.000018
12,0.1967,0.9462,0.1326,0.9633,0.000020
13,0.1507,0.9529,0.0808,0.9715,0.000002
14,0.1214,0.9645,0.0924,0.9739,0.000003
15,0.0817,0.9737,0.0881,0.9755,0.000005
16,0.0685,0.9790,0.0949,0.9723,0.000007
17,0.0597,0.9829,0.1512,0.9690,0.000008
18,0.0588,0.9837,0.1061,0.9731,0.000010
19,0.0630,0.9823,0.1375,0.9715,0.000011
20,0.2044,0.9503,0.1140,0.9698,0.000013
