Epoch [1/200], Train Loss: 2.3225, Train Acc: 0.1351, Val Loss: 2.2778, Val Accuracy: 0.1525, LR: 0.000002
Epoch [2/200], Train Loss: 2.0176, Train Acc: 0.2764, Val Loss: 1.9519, Val Accuracy: 0.3173, LR: 0.000003
Epoch [3/200], Train Loss: 1.8953, Train Acc: 0.3262, Val Loss: 1.8613, Val Accuracy: 0.3344, LR: 0.000005
Epoch [4/200], Train Loss: 1.8342, Train Acc: 0.3465, Val Loss: 1.8181, Val Accuracy: 0.3638, LR: 0.000007
Epoch [5/200], Train Loss: 1.7939, Train Acc: 0.3688, Val Loss: 1.7541, Val Accuracy: 0.3931, LR: 0.000008
Epoch [6/200], Train Loss: 1.7468, Train Acc: 0.3818, Val Loss: 1.7188, Val Accuracy: 0.3956, LR: 0.000010
Epoch [7/200], Train Loss: 1.7244, Train Acc: 0.3934, Val Loss: 1.7199, Val Accuracy: 0.3931, LR: 0.000011
Epoch [8/200], Train Loss: 1.6850, Train Acc: 0.4105, Val Loss: 1.6600, Val Accuracy: 0.4233, LR: 0.000013
Epoch [9/200], Train Loss: 1.6719, Train Acc: 0.4181, Val Loss: 1.6400, Val Accuracy: 0.4274, LR: 0.000015
Epoch [10/200], Train Loss: 1.6490, Train Acc: 0.4236, Val Loss: 1.6034, Val Accuracy: 0.4421, LR: 0.000016
Epoch [11/200], Train Loss: 1.6151, Train Acc: 0.4402, Val Loss: 1.7048, Val Accuracy: 0.4201, LR: 0.000018
Epoch [12/200], Train Loss: 1.5865, Train Acc: 0.4552, Val Loss: 1.5569, Val Accuracy: 0.4739, LR: 0.000020
Epoch [13/200], Train Loss: 1.5645, Train Acc: 0.4599, Val Loss: 1.5192, Val Accuracy: 0.4682, LR: 0.000021
Epoch [14/200], Train Loss: 1.5243, Train Acc: 0.4673, Val Loss: 1.5799, Val Accuracy: 0.4715, LR: 0.000023
Epoch [15/200], Train Loss: 1.5200, Train Acc: 0.4747, Val Loss: 1.4406, Val Accuracy: 0.5220, LR: 0.000024
Epoch [16/200], Train Loss: 1.5029, Train Acc: 0.4814, Val Loss: 1.4724, Val Accuracy: 0.5114, LR: 0.000026
Epoch [17/200], Train Loss: 1.4787, Train Acc: 0.4886, Val Loss: 1.4729, Val Accuracy: 0.5269, LR: 0.000028
Epoch [18/200], Train Loss: 1.4414, Train Acc: 0.5018, Val Loss: 1.4283, Val Accuracy: 0.5196, LR: 0.000029
Epoch [19/200], Train Loss: 1.4464, Train Acc: 0.5041, Val Loss: 1.3997, Val Accuracy: 0.5457, LR: 0.000031
Epoch [20/200], Train Loss: 1.4270, Train Acc: 0.5088, Val Loss: 1.4460, Val Accuracy: 0.4959, LR: 0.000033
Epoch [21/200], Train Loss: 1.3968, Train Acc: 0.5211, Val Loss: 1.3475, Val Accuracy: 0.5522, LR: 0.000034
Epoch [22/200], Train Loss: 1.3789, Train Acc: 0.5237, Val Loss: 1.3813, Val Accuracy: 0.5261, LR: 0.000036
Epoch [23/200], Train Loss: 1.3518, Train Acc: 0.5386, Val Loss: 1.3078, Val Accuracy: 0.5375, LR: 0.000038
Epoch [24/200], Train Loss: 1.3580, Train Acc: 0.5341, Val Loss: 1.2690, Val Accuracy: 0.5710, LR: 0.000039
Epoch [25/200], Train Loss: 1.3206, Train Acc: 0.5509, Val Loss: 1.3018, Val Accuracy: 0.5498, LR: 0.000041
